PLAYER_NAME,FT_AST,SECONDARY,POTENTIAL,PASSES,AST,AST_ADJ,AST_PCT,ADJ_AST_PCT
DeMarcus Cousins,0.3,0.7,6.3,40.9,3.3,4.3,0.08,0.11
Stephen Curry,0.7,2.5,12.3,56.8,6.7,9.8,0.12,0.17
James Harden,0.6,1.5,14.3,52.3,7.5,9.6,0.14,0.18
Damian Lillard,0.7,1.3,13.0,60.1,6.8,8.8,0.11,0.15
Kevin Durant,0.3,0.9,9.8,37.4,5.0,6.2,0.13,0.17
Anthony Davis,0.2,0.3,3.9,43.1,1.9,2.5,0.04,0.06
LeBron James,0.7,1.3,13.2,50.3,6.8,8.8,0.13,0.17
Carmelo Anthony,0.4,0.8,7.8,42.6,4.2,5.4,0.1,0.13
Russell Westbrook,1.2,1.7,18.3,58.6,10.4,13.3,0.18,0.23
Paul George,0.4,0.8,7.6,39.6,4.1,5.3,0.1,0.13
CJ McCollum,0.7,1.3,8.7,46.1,4.3,6.2,0.09,0.14
DeMar DeRozan,0.3,0.8,8.4,37.9,4.0,5.1,0.11,0.13
John Wall,1.0,2.0,19.7,70.9,10.2,13.2,0.14,0.19
Klay Thompson,0.3,0.9,3.8,25.3,2.1,3.2,0.08,0.13
Blake Griffin,0.2,0.6,9.2,59.9,4.9,5.7,0.08,0.09
Brandon Knight,0.4,1.3,10.4,56.3,5.1,6.8,0.09,0.12
Isaiah Thomas,0.5,1.4,12.9,59.3,6.2,8.1,0.1,0.14
Kobe Bryant,0.3,0.5,5.1,24.0,2.8,3.6,0.12,0.15
Kyrie Irving,0.4,1.5,8.9,51.2,4.7,6.6,0.09,0.13
Kemba Walker,0.4,1.5,11.5,66.6,5.2,7.1,0.08,0.11
Dwyane Wade,0.5,0.6,8.4,34.2,4.6,5.8,0.14,0.17
Nikola Vucevic,0.3,0.5,6.1,40.8,2.7,3.5,0.07,0.09
Andrew Wiggins,0.2,0.6,4.3,23.2,2.0,2.8,0.09,0.12
Derrick Rose,0.4,1.3,9.2,55.0,4.7,6.5,0.09,0.12
Eric Bledsoe,0.5,1.4,12.8,61.1,6.1,8.0,0.1,0.13
